product_id,date,price,inventory,days_to_expiry,competitor_price,promo_flag,weather_score,units_sold
sushi-6pcs,2025-08-23,6.89,106,0,9.16,0,0.72,2
sushi-6pcs,2025-08-03,7.04,47,0,8.03,0,0.53,3
bread-loaf,2025-08-05,3.43,13,2,3.84,0,0.9,13
salad-bowl,2025-08-01,5.08,21,1,4.64,0,0.43,21
sushi-6pcs,2025-08-04,7.27,97,0,7.58,0,0.93,0
milk-1L,2025-08-01,6.07,104,1,5.78,0,0.81,31
yogurt-150g,2025-08-09,2.78,99,6,1.97,0,0.6,50
sushi-6pcs,2025-08-13,6.79,59,0,7.54,1,0.83,11
milk-1L,2025-08-14,6.02,50,2,5.83,0,0.42,41
chicken-breast,2025-08-20,8.29,98,0,10.5,0,0.65,2
chicken-breast,2025-07-25,8.25,77,1,10.32,0,0.34,9
milk-1L,2025-08-16,6.55,33,6,7.59,0,0.56,33
cut-fruit,2025-07-31,4.99,85,1,5.14,0,0.22,30
yogurt-150g,2025-08-11,2.3,88,4,1.62,0,0.85,42
sushi-6pcs,2025-08-21,6.83,96,0,8.76,0,0.68,2
chicken-breast,2025-08-04,8.2,24,1,8.94,0,0.17,11
sushi-6pcs,2025-07-27,6.62,40,0,9.24,0,0.9,9
milk-1L,2025-07-29,5.5,34,1,7.84,0,0.58,34
salad-bowl,2025-07-28,4.97,14,1,6.68,0,0.81,14
yogurt-150g,2025-07-28,2.06,65,3,3.29,0,0.33,42
milk-1L,2025-08-23,6.16,83,5,7.11,0,0.68,51
milk-1L,2025-08-15,6.01,22,5,7.64,1,0.03,22
sushi-6pcs,2025-07-26,6.51,52,0,7.81,0,0.28,0
bread-loaf,2025-08-05,3.49,35,1,4.1,0,0.46,35
bread-loaf,2025-08-16,3.32,100,2,2.62,1,0.53,62
berries-250g,2025-08-16,8.08,66,3,7.78,0,0.0,31
bread-loaf,2025-08-12,3.41,95,2,3.81,0,0.15,48
yogurt-150g,2025-07-26,2.25,13,2,2.11,0,0.62,13
salad-bowl,2025-08-21,5.12,80,0,4.74,0,0.15,6
yogurt-150g,2025-07-27,2.16,46,7,3.58,0,0.13,46
cut-fruit,2025-08-03,4.42,109,1,4.91,1,0.72,33
chicken-breast,2025-08-09,8.65,65,1,8.67,0,0.12,5
chicken-breast,2025-08-20,8.74,28,1,10.68,0,0.89,12
berries-250g,2025-07-25,7.02,29,0,8.62,0,0.73,22
cut-fruit,2025-08-24,4.26,56,0,6.2,0,0.81,22
milk-1L,2025-08-09,5.78,84,3,6.0,0,0.05,46
milk-1L,2025-08-15,5.66,93,3,5.7,0,0.88,46
chicken-breast,2025-08-10,8.37,69,2,10.45,0,0.12,20
berries-250g,2025-08-15,7.66,36,1,7.63,0,0.91,23
berries-250g,2025-08-05,7.99,43,3,9.53,1,0.8,43
chicken-breast,2025-07-28,8.72,67,3,9.03,0,0.8,23
chicken-breast,2025-08-08,9.44,34,4,9.87,0,0.73,27
milk-1L,2025-08-16,6.67,35,6,6.13,0,0.18,35
yogurt-150g,2025-08-21,2.31,17,7,3.48,1,0.77,17
milk-1L,2025-07-26,5.43,41,1,6.65,0,0.51,38
yogurt-150g,2025-08-19,2.5,118,5,1.54,0,0.63,41
